"","CaseID","Country","StartYear","EndYear","Startmonth","Endmonth","Designation of the Event(s)","Public Health Activities","Children","Mothers_women","Others","Target Population(s)","Polio","Measles","Diphtheria","Pertussis","Tetanus","Cholera","Rubella","Other","Target Public Health Issue(s)","Parties Involved","UN_involved","UCDP_conflict","UCDP2","UCDP3","ISO3","cases","gwno","Startdate","Enddate"
"36","36","El Salvador","1991","1991","2","2","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1991-02-01","1991-02-28"
"37","37","El Salvador","1991","1991","3","3","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","PAHO, UNICEF, Government, Roman Catholic Church, Red Cross, FMLN, USAID, Canadian Public Health Association, IADB","1","316","NA","NA","SLV","1","92","1991-03-01","1991-03-28"
"38","38","Bosnia and Herzegovina","1994","1994","2","2","Ceasefire","Vaccination Campaign","1","0","0","Children","0","0","0","0","0","0","0","0","NA","NA","0","389","397","398","BIH","1","346","1994-02-01","1994-02-28"
"39","39","Guinea-Bissau","1999","1999","2","2","Ceasefire","Provision of Vaccines","0","0","0","NA","0","0","0","0","0","0","0","1","Meningitis","EU (2)","0","410","NA","NA","GNB","1","404","1999-02-01","1999-02-28"
"40","40","Lebanon","1987","1987","9","11","Days of Tranquillity","Vaccination Campaign","1","0","0","Children","1","1","0","0","0","0","0","0","""Main childhood diseases"" (4)","UNICEF, Syria, Israel, Government of Lebanon, warring factions (4), ICRC, WHO","1","260","NA","NA","LBN","1","660","1987-09-01","1987-11-28"
"41","41","Liberia","1996","1996","6","6","Days of Tranquillity","Vaccination Campaign","1","0","0","Children (1)","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO","1","341","NA","NA","LBR","1","450","1996-06-01","1996-06-28"
"42","42","Pakistan","2000","2000","NA","NA","Negotiated ceasefires/Days of Transquillity","Vaccination Campaign","1","0","0","Children(?)","1","1","0","0","0","0","0","0","Polio (1), measles (2)","NA","0","404","325","NA","PAK","1","770","NA","NA"
"43","43","Philippines","1993","1993","4","5","Ceasefire for Children (2, 6)","Vaccination Campaign","1","1","0","Children, women","1","1","0","0","1","0","0","1","Polio (1), measles, vitamin A (Children), tetanus (women) (6)","Ceasefire for Children Movement/Ministry of Health","0","308","NA","NA","PHL","1","840","1993-04-01","1993-05-28"
"44","44","Philippines","1994","1994","3","3","National immunisation day","Vaccination Campaign","1","1","0","Children, Women","1","1","0","0","1","0","0","0","Polio and measles (Children), tetanus (Women)","MILF/MNLF(?), Government, Rotary, Lions, NGOs (see Flavier)","0","308","NA","NA","PHL","1","840","1994-03-01","1994-03-28"
"45","45","Philippines","2007","2007","4","4","Days of Tranquillity (translated from French)/Days of Peace","Vaccination Campaign, Provision of Supplements","1","1","1","Children (and their families?)","0","0","0","0","1","0","0","1","Vitamin A, de-worming  (Children), pregnancy care/tetanus (6,7)","UNICEF, MILF","1","308","NA","NA","PHL","1","840","2007-04-01","2007-04-28"
"46","46","Sierra Leone","2000","2000","10","11","National immunisation day","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO, RUF, Rotary","1","382","NA","NA","SLE","1","451","2000-10-01","2000-11-28"
"47","47","Somalia","1998","1998","NA","NA","NA","Vaccination Campaign (check)","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","UNICEF, WHO","1","337","NA","NA","SOM","1","520","NA","NA"
"48","48","Sri Lanka","1995","1995","10","11","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1995-10-01","1995-11-28"
"49","49","Sri Lanka","1995","1995","12","12","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1995-12-01","1995-12-28"
"50","50","Sri Lanka","1996","1996","9","9","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1996-09-01","1996-09-28"
